headshot,SPLASHES_HEADSHOT,,medal_kill_headshot,1.5,0.75,0.25,0.25,1,mp_s1_earn_medal,,splash
assistedsuicide,SPLASHES_ASSISTEDSUICIDE,,medal_kill_assisted_suicide,1.5,0.75,0.25,0.25,1,mp_s1_earn_medal,,splash
5killstreak,SPLASHES_BLOODTHIRSTY,,medal_killstreak_bloodthirsty,1.5,0.75,0.25,0.25,1,mp_s1_earn_medal,,splash
10killstreak,SPLASHES_MERCILESS,,medal_killstreak_merciless,1.5,0.75,0.25,0.25,1,mp_s1_earn_medal,,splash
15killstreak,SPLASHES_RUTHLESS,,medal_killstreak_ruthlessy,1.5,0.75,0.25,0.25,1,mp_s1_earn_medal,,splash
20killstreak,SPLASHES_RELENTLESS,,medal_killstreak_relentless,1.5,0.75,0.25,0.25,1,mp_s1_earn_medal,,splash
25killstreak,SPLASHES_BRUTAL,,medal_killstreak_brutal,1.5,0.75,0.25,0.25,1,mp_s1_earn_medal,,splash
30killstreak,SPLASHES_NUCLEAR,,medal_killstreak_nuclear,1.5,0.75,0.25,0.25,1,mp_s1_earn_medal,,splash
30pluskillstreak,SPLASHES_UNSTOPPABLE,,medal_killstreak_unstoppable,1.5,0.75,0.25,0.25,1,mp_s1_earn_medal,,splash
callout_kill_streaking,SPLASHES_KILL_STREAKING,SPLASHES_KILL_STREAKING,,4,1,1,1,1,null,,playercard_splash
longshot,SPLASHES_LONGSHOT,,medal_kill_longshot,1.5,0.75,0.25,0.25,1,mp_s1_earn_medal,,splash
firstplacekill,SPLASHES_FIRST_PLACE_KILL,,medal_kill_kingslayer,1.5,0.75,0.25,0.25,1,mp_s1_earn_medal,,splash
backstab,SPLASHES_BACKSTAB,,medal_kill_rabbit_punch,1.5,0.75,0.25,0.25,1,mp_s1_earn_medal,,splash
bulletpen,SPLASHES_BULLETPEN,,medal_kill_puncture,1.5,0.75,0.25,0.25,1,mp_s1_earn_medal,,splash
avenger,SPLASHES_AVENGER,,medal_kill_avenger,1.5,0.75,0.25,0.25,1,mp_s1_earn_medal,,splash
defender,SPLASHES_DEFENDER,,medal_kill_savior,1.5,0.75,0.25,0.25,1,mp_s1_earn_medal,,splash
pointblank,SPLASHES_POINT_BLANK,,medal_kill_point_blank,1.5,0.75,0.25,0.25,1,mp_s1_earn_medal,,splash
posthumous,SPLASHES_POSTHUMOUS,,medal_kill_after_life,1.5,0.75,0.25,0.25,1,mp_s1_earn_medal,,splash
hijacker,SPLASHES_HIJACKER,,medal_destroy_highjacker,2.5,0.75,0.25,0.25,1,mp_s1_earn_medal,,splash
hijacked_airdrop,SPLASHES_HIJACKED_AIRDROP,SPLASHES_HIJACKED_AIRDROP,,4,1,1,1,1,mp_obj_notify_neg_sml,,playercard_splash
sharepackage,SPLASHES_SHAREPACKAGE,,medal_scorestreak_shared,1.5,0.75,0.25,0.25,1,mp_s1_earn_medal,,splash
map_killstreak,SPLASHES_MAP_KILL_STREAK,,medal_scorestreak_hfa,1.5,0.75,0.25,0.25,1,mp_s1_earn_medal,,splash
oneshotkill,SPLASHES_ONE_SHOT_KILL,,medal_kill_one_shot_one_kill,1.5,0.75,0.25,0.25,1,mp_s1_earn_medal,,splash
revenge,SPLASHES_REVENGE,,medal_kill_revenge,1.5,0.75,0.25,0.25,1,mp_s1_earn_medal,,splash
doublekill,SPLASHES_DOUBLEKILL,,medal_rapid_double_kill,1.5,0.75,0.25,0.25,1,mp_s1_earn_medal,,splash
triplekill,SPLASHES_TRIPLEKILL,,medal_rapidkill_triple_kill,1.5,0.75,0.25,0.25,1,mp_s1_earn_medal,,splash
callout_3xkill,SPLASHES_TRIPLEKILL,SPLASHES_TRIPLEKILL_DESC,,4,1,1,1,1,null,,playercard_splash
fourkill,SPLASHES_FOURKILL,,medal_rapidkill_fury_kill,1.5,0.75,0.25,0.25,1,mp_s1_earn_medal,,splash
callout_4xkill,SPLASHES_FOURKILL,SPLASHES_FOURKILL_DESC,,4,1,1,1,1,null,,playercard_splash
fivekill,SPLASHES_FIVEKILL,,medal_rapidkill_frenzy_kill,1.5,0.75,0.25,0.25,1,mp_s1_earn_medal,,splash
callout_5xkill,SPLASHES_FIVEKILL,SPLASHES_FIVEKILL_DESC,,4,1,1,1,1,null,,playercard_splash
sixkill,SPLASHES_SIXKILL,,medal_rapidkill_super_kill,1.5,0.75,0.25,0.25,1,mp_s1_earn_medal,,splash
callout_6xkill,SPLASHES_SIXKILL,SPLASHES_SIXKILL_DESC,,4,1,1,1,1,null,,playercard_splash
sevenkill,SPLASHES_SEVENKILL,,medal_rapidkill_mega_kill,1.5,0.75,0.25,0.25,1,mp_s1_earn_medal,,splash
callout_7xkill,SPLASHES_SEVENKILL,SPLASHES_SEVENKILL_DESC,,4,1,1,1,1,null,,playercard_splash
eightkill,SPLASHES_EIGHTKILL,,medal_rapidkill_ultra_kill,1.5,0.75,0.25,0.25,1,mp_s1_earn_medal,,splash
callout_8xkill,SPLASHES_EIGHTKILL,SPLASHES_EIGHTKILL_DESC,,4,1,1,1,1,null,,playercard_splash
multikill,SPLASHES_MULTIKILL,,medal_rapidkill_kill_chain,1.5,0.75,0.25,0.25,1,mp_s1_earn_medal,,splash
callout_9xpluskill,SPLASHES_MULTIKILL,SPLASHES_MULTIKILL_DESC,,4,1,1,1,1,null,,playercard_splash
