sniper,feature,0,,,,,,,,,
demolitions,feature,0,,,,,,,,,
cac,feature,0,,,,,,,,,
cas,feature,0,,,,,,,,,
playercard,profileFeature,0,,,,,,,,,
playercard_title,profileFeature,0,,,,,,,,,
playercard_icon,profileFeature,0,,,,,,,,,
token_1,feature,6,,,,,,,,,
token_2,feature,9,,,,,,,,,
token_3,feature,12,,,,,,,,,
token_4,feature,16,,,,,,,,,
token_5,feature,19,,,,,,,,,
token_6,feature,24,,,,,,,,,
token_7,feature,28,,,,,,,,,
token_8,feature,30,,,,,,,,,
token_9,feature,34,,,,,,,,,
token_10,feature,36,,,,,,,,,
token_11,feature,40,,,,,,,,,
token_12,feature,42,,,,,,,,,
token_13,feature,48,,,,,,,,,
token_14,feature,52,,,,,,,,,
token_15,feature,58,,,,,,,,,
token_16,feature,62,,,,,,,,,
token_17,feature,64,,,,,,,,,
token_18,feature,66,,,,,,,,,
token_19,feature,72,,,,,,,,,
token_20,feature,74,,,,,,,,,
token_21,feature,78,,,,,,,,,
token_22,feature,9999,,,,,,,,,
token_23,feature,9999,,,,,,,,,
ghillie_forest,feature,0,,,,,,,,,
ghillie_arctic,feature,4,,,,,,,,,
ghillie_urban,feature,4,,,,,,,,,
ghillie_desert,feature,4,,,,,,,,,
cac_mdlc,feature,0,,,,,,,CaCSlots,,
0,Background,0,,,,,,,,,
1,Background,0,,,,,,,,,
2,Background,0,,,,,,,,,
3,Background,0,,,,,,,,,
4,Background,0,,,,,,,,,
em_bg_prestige_01,title,0,,,,,,1,,,
em_bg_prestige_02,title,0,,,,,,2,,,
em_bg_prestige_03,title,0,,,,,,3,,,
em_bg_prestige_04,title,0,,,,,,4,,,
em_bg_prestige_05,title,0,,,,,,5,,,
em_bg_prestige_06,title,0,,,,,,6,,,
em_bg_prestige_07,title,0,,,,,,7,,,
em_bg_prestige_08,title,0,,,,,,8,,,
em_bg_prestige_09,title,0,,,,,,9,,,
em_bg_prestige_10,title,0,,,,,,10,,,
em_bg_prestige_11,title,0,,,,,,11,,,
em_bg_prestige_12,title,0,,,,,,12,,,
em_bg_prestige_13,title,0,,,,,,13,,,
em_bg_prestige_14,title,0,,,,,,14,,,
em_bg_prestige_15,title,0,,,,,,15,,,
em_bg_grand_master_prestige_01,title,0,,,,,,16,,,
em_bg_grand_master_prestige_02,title,0,,,,,,17,,,
em_bg_grand_master_prestige_03,title,0,,,,,,18,,,
em_bg_grand_master_prestige_04,title,0,,,,,,19,,,
em_bg_grand_master_prestige_05,title,0,,,,,,20,,,
em_bg_grand_master_prestige_06,title,0,,,,,,21,,,
em_bg_grand_master_prestige_07,title,0,,,,,,22,,,
em_bg_grand_master_prestige_08,title,0,,,,,,23,,,
em_bg_grand_master_prestige_09,title,0,,,,,,24,,,
em_bg_grand_master_prestige_10,title,0,,,,,,25,,,
em_bg_grand_master_prestige_11,title,0,,,,,,26,,,
em_bg_grand_master_prestige_12,title,0,,,,,,27,,,
em_bg_grand_master_prestige_13,title,0,,,,,,28,,,
em_bg_grand_master_prestige_14,title,0,,,,,,29,,,
em_bg_grand_master_prestige_15,title,0,,,,,,30,,,
em_bg_marksman_ak125,title,0,ch_marksman_iw5_ak12_5,,,,,,,,
em_bg_marksman_hbra35,title,0,ch_marksman_iw5_hbra3_5,,,,,,,,
em_bg_marksman_amr95,title,0,ch_marksman_iw5_hmr9_5,,,,,,,,
em_bg_marksman_arx1605,title,0,ch_marksman_iw5_arx160_5,,,,,,,,
em_bg_marksman_asm15,title,0,ch_marksman_iw5_asm1_5,,,,,,,,
em_bg_marksman_atlas455,title,0,ch_marksman_iw5_titan45_5,,,,,,,,
em_bg_marksman_bal275,title,0,ch_marksman_iw5_bal27_5,,,,,,,,
em_bg_marksman_bulldog5,title,0,ch_marksman_iw5_maul_5,,,,,,,,
em_bg_marksman_crossbow5,title,0,ch_marksman_iw5_exocrossbow_5,,,,,,,,
em_bg_marksman_em15,title,0,ch_marksman_iw5_em1_5,,,,,,,,
em_bg_marksman_epm35,title,0,ch_marksman_iw5_epm3_5,,,,,,,,
em_bg_marksman_exoweapon,title,0,ch_marksman_iw5_exoxmg_5,,,,,,,,
em_bg_marksman_imr5,title,0,ch_marksman_iw5_himar_5,,,,,,,,
em_bg_marksman_kf55,title,0,ch_marksman_iw5_kf5_5,,,,,,,,
em_bg_marksman_lsat5,title,0,ch_marksman_iw5_lsat_5,,,,,,,,
em_bg_marksman_lynx5,title,0,ch_marksman_iw5_gm6_5,,,,,,,,
em_bg_marksman_m9905,title,0,ch_marksman_iw5_m990_5,,,,,,,,
em_bg_marksman_maaws5,title,0,ch_marksman_iw5_maaws_5,,,,,,,,
em_bg_marksman_mahem5,title,0,ch_marksman_iw5_mahem_5,,,,,,,,
em_bg_marksman_microdrone5,title,0,ch_marksman_iw5_microdronelauncher_5,,,,,,,,
em_bg_marksman_mk145,title,0,ch_marksman_iw5_m182spr_5,,,,,,,,
em_bg_marksman_mors5,title,0,ch_marksman_iw5_mors_5,,,,,,,,
em_bg_marksman_mp115,title,0,ch_marksman_iw5_mp11_5,,,,,,,,
em_bg_marksman_mp4435,title,0,ch_marksman_iw5_pbw_5,,,,,,,,
em_bg_marksman_rhino5,title,0,ch_marksman_iw5_rhino_5,,,,,,,,
em_bg_marksman_riotshield5,title,0,ch_marksman_iw5_riotshieldt6_5,,,,,,,,
em_bg_marksman_rw15,title,0,ch_marksman_iw5_rw1_5,,,,,,,,
em_bg_marksman_sac35,title,0,ch_marksman_iw5_sac3_5,,,,,,,,
