1,zombie_generic
2,zombie_generic_exo
3,zombie_generic_exo_fast
4,zombie_generic_exo_emz
5,zombie_generic_exo_exploder
6,zombie_host
7,zombie_dog
8,zombie_dog_emz
9,zombie_dog_exploder
10,zombie_generic_exo_acid
11,zombie_generic_exo_spiked
12,zombie_generic_exo_armor
13,zombie_melee_goliath
14,zombie_ranged_goliath
15,zombie_murderbot
16,zombie_generic_exo_teleport
17,zombie_dog_teleport
18,zombie_boss_oz_stage2
19,zombie_generic_exo_combo_spike_teleport
20,zombie_generic_exo_combo_exploder_teleport
21,zombie_generic_exo_combo_armor_emz
22,zombie_generic_exo_combo_emz_spike
