marine,CHARACTERGEARSET_MARINE_SET,CHARACTERGEARSET_INCREASE_XP_10_PERCENT,xp,.05,9,0x6C00003,0x660000F,0x620000C,0x6700006,0x6900003,0x6400008,0x6800008,0x6A00004,0x6B00003,1,1
royalty_1,CHARACTERGEARSET_ROYALTY_SET,CHARACTERGEARSET_INCREASE_XP_10_PERCENT,xp,.05,8,,0x6608011,0x6208004,0x6708003,0x6900013,0x6400013,0x680200B,0x6A0400D,0x6B02006,1,2
royalty_2,CHARACTERGEARSET_ROYALTY_SET,CHARACTERGEARSET_INCREASE_XP_10_PERCENT,xp,.05,8,,0x6602015,0x6208004,0x6708003,0x6900013,0x6400013,0x680200B,0x6A0400D,0x6B02006,1,2
royalty_3,CHARACTERGEARSET_ROYALTY_SET,CHARACTERGEARSET_INCREASE_XP_10_PERCENT,xp,.05,8,,0x6602033,0x6208004,0x6708003,0x6900013,0x6400013,0x680200B,0x6A0400D,0x6B02006,1,2
atlas_campaign_1,CHARACTERGEARSET_ATLAS_CAMPAIGN_SET,CHARACTERGEARSET_INCREASE_XP_10_PERCENT,xp,.05,8,,0x660001C,0x620C001,0x670A001,0x690600E,0x640000F,0x680800D,0x6A0A001,0x6B26001,1,4
atlas_campaign_2,CHARACTERGEARSET_ATLAS_CAMPAIGN_SET,CHARACTERGEARSET_INCREASE_XP_10_PERCENT,xp,.05,8,,0x660201C,0x620C001,0x670A001,0x690600E,0x640000F,0x680800D,0x6A0A001,0x6B26001,1,4
kva_rebel,CHARACTERGEARSET_KVA_REBEL_SET,CHARACTERGEARSET_INCREASE_XP_10_PERCENT,xp,.05,8,,0x6600013,0x620600B,0x6706005,0x690400E,0x6406001,0x680A00B,0x6A02005,0x6B1A001,1,8
sentinel_infantry_1,CHARACTERGEARSET_SENTINEL_INFANTRY_SET,CHARACTERGEARSET_INCREASE_XP_10_PERCENT,xp,.05,8,,0x6600010,0x6200008,0x670000D,0x6900001,0x640000C,0x680000C,0x6A00009,0x6B00001,1,16
sentinel_infantry_2,CHARACTERGEARSET_SENTINEL_INFANTRY_SET,CHARACTERGEARSET_INCREASE_XP_10_PERCENT,xp,.05,8,,0x6600010,0x6200008,0x670000D,0x6900001,0x640000C,0x6800001,0x6A00009,0x6B00001,1,16
atlas_airborne,CHARACTERGEARSET_ATLAS_AIRBORNE_SET,CHARACTERGEARSET_INCREASE_XP_10_PERCENT,xp,.05,8,,0x6604010,0x6204001,0x6706001,0x6902001,0x640600D,0x680600D,0x6A02001,0x6B12001,1,32
