0,0,,
1,0,,
2,23,ZOMBIES_WPN_LVL_2,#zombie green camo
3,7,ZOMBIES_WPN_LVL_3,
4,14,ZOMBIES_WPN_LVL_4,
5,3,ZOMBIES_WPN_LVL_5,
6,2,ZOMBIES_WPN_LVL_6,
7,4,ZOMBIES_WPN_LVL_7,
8,5,ZOMBIES_WPN_LVL_8,
9,6,ZOMBIES_WPN_LVL_9,
10,25,ZOMBIES_WPN_LVL_10,# zombie monkey face
11,8,ZOMBIES_WPN_LVL_11,
12,12,ZOMBIES_WPN_LVL_12,
13,10,ZOMBIES_WPN_LVL_13,
14,11,ZOMBIES_WPN_LVL_14,
15,24,ZOMBIES_WPN_LVL_15,#zombie flesh camo
16,18,ZOMBIES_WPN_LVL_16,
17,13,ZOMBIES_WPN_LVL_17,
18,9,ZOMBIES_WPN_LVL_18,
19,15,ZOMBIES_WPN_LVL_19,
20,17,ZOMBIES_WPN_LVL_20,
21,0,ZOMBIES_WPN_LVL_20,
22,0,ZOMBIES_WPN_LVL_20,
23,0,ZOMBIES_WPN_LVL_20,
24,0,ZOMBIES_WPN_LVL_20,
25,16,ZOMBIES_WPN_LVL_25,
