0,iw5_mors,s1_scope_overlay_bgblur,s1_scope_overlay,s1_scope_overlay_vignette,s1_scope_overlay_target_dot,none
1,iw5_gm6,s1_scope_overlay_bgblur,s1_scope_overlay,s1_scope_overlay_vignette,s1_scope_overlay_target_dot,none
2,iw5_m990,s1_scope_overlay_bgblur,s1_scope_overlay,s1_scope_overlay_vignette,s1_scope_overlay_target_dot,none
3,iw5_thor,s1_scope_overlay_bgblur,s1_scope_overlay,s1_scope_overlay_vignette,s1_scope_overlay_target_dot,none
4,iw5_stingerm7,none,none,none,none,scope_overlay_stingerm7
5,iw5_mahem,none,none,none,none,scope_overlay_stingerm7
6,iw5_dlcgun9loot0,s1_scope_overlay_bgblur,s1_scope_overlay,s1_scope_overlay_vignette,s1_scope_overlay_target_dot,none
7,iw5_dlcgun10,s1_scope_overlay_bgblur,s1_scope_overlay,s1_scope_overlay_vignette,s1_scope_overlay_target_dot,none
8,iw5_dlcgun10loot0,s1_scope_overlay_bgblur,s1_scope_overlay,s1_scope_overlay_vignette,s1_scope_overlay_target_dot,none
9,iw5_dlcgun10loot1,s1_scope_overlay_bgblur,s1_scope_overlay,s1_scope_overlay_vignette,s1_scope_overlay_target_dot,none
10,iw5_dlcgun11loot2,none,none,none,none,scope_overlay_stingerm7
11,iw5_dlcgun11loot4,none,none,none,none,scope_overlay_stingerm7
12,iw5_dlcgun6loot5,s1_scope_overlay_bgblur,s1_scope_overlay,s1_scope_overlay_vignette,s1_scope_overlay_target_dot,none
13,iw5_dlcgun6loot6,s1_scope_overlay_bgblur,s1_scope_overlay,s1_scope_overlay_vignette,s1_scope_overlay_target_dot,none
14,iw5_dlcgun6loot7,s1_scope_overlay_bgblur,s1_scope_overlay,s1_scope_overlay_vignette,s1_scope_overlay_target_dot,none
15,iw5_dlcgun6loot8,s1_scope_overlay_bgblur,s1_scope_overlay,s1_scope_overlay_vignette,s1_scope_overlay_target_dot,none
16,iw5_dlcgun6loot9,s1_scope_overlay_bgblur,s1_scope_overlay,s1_scope_overlay_vignette,s1_scope_overlay_target_dot,none
17,iw5_dlcgun7,s1_scope_overlay_bgblur,s1_scope_overlay,s1_scope_overlay_vignette,s1_scope_overlay_target_dot,none
