gender,1,0,0,1,LOOT_GENDER_STYLE1,s1_cao_image_none,0x6100001,,,,
gender,2,0,0,2,LOOT_GENDER_STYLE2,s1_cao_image_none,0x6100002,,,,
shirt,1,0,0,1,LOOT_ATLAS_SHIRT,s1_cao_image_top_01,0x6200001,7,,,
shirt,2,2,0,2,LOOT_ATLAS_PMC_SHIRT,s1_cao_image_top_08a,0x6200002,7,,,
shirt,3,10,0,4,LOOT_SENTINEL_COVERT_SHIRT,s1_cao_image_top_06a,0x6200004,7,,,
shirt,4,12,0,5,LOOT_POLICE_TOP,s1_cao_image_top_24a,0x6200005,,,,
shirt,5,14,0,6,LOOT_BARE_ARMS,s1_cao_image_top_26a,0x6200006,3,,,
shirt,6,22,0,7,LOOT_NIGERIAN_ARMY_SHIRT,s1_cao_image_top_09a,0x6200007,6,,,
shirt,7,30,0,8,LOOT_SENTINEL_SHIRT,s1_cao_image_top_03,0x6200008,7,,,
shirt,8,38,0,9,LOOT_ELITE_TOP,s1_cao_image_top_22a,0x6200009,7,,,
shirt,9,40,0,10,LOOT_PMC_SHIRT,s1_cao_image_top_20a,0x620000A,7,,,
shirt,10,42,0,11,LOOT_ATLAS_SHORT_SHIRT,s1_cao_image_top_04a,0x620000B,6,,,
shirt,11,50,0,12,LOOT_MARINE_SHIRT,s1_cao_image_top_19a,0x620000C,7,,,
shirt,12,52,0,13,LOOT_BLOODSHED_SHIRT,s1_cao_image_top_27a,0x620000D,6,,,
shirt,13,54,0,14,LOOT_ARTIC_SHIRT,s1_cao_image_top_28,0x620000E,2,,,
shirt,14,56,0,15,LOOT_SURFER_SHIRT,s1_cao_image_top_29,0x620000F,4,,,
shirt,15,64,0,16,LOOT_WHITE_TOP,s1_cao_image_top_22wh,0x6200010,3,,,
shirt,16,66,0,17,LOOT_HAZMAT_TOP,s1_cao_image_top_30,0x6200011,6,,,
shirt,17,68,0,18,LOOT_ARACHNID_SHIRT,s1_cao_image_top_aracnid,0x6200012,,,,
shirt,18,70,0,19,LOOT_ENLIGHTENED_SHIRT,s1_cao_image_top_en,0x6200013,,,,
shirt,19,72,0,20,LOOT_BOMBER_SHIRT,s1_cao_image_top_bomb,0x6200014,4,,,
shirt,20,74,0,21,LOOT_CONQUISTADOR_SHIRT,s1_cao_image_top_31,0x6200015,,,,
head,1,0,0,1,LOOT_CORMACK,s1_cao_image_head_male_cormack,0x6300001,,cormack,skin0,
head,2,1,0,2,LOOT_CLARK,s1_cao_image_head_male_clark,0x6300002,,clark,skin2,
head,3,2,0,3,LOOT_BARTON,s1_cao_image_head_male_barton,0x6300003,,barton,skin2,
head,4,5,0,4,LOOT_HANKS,s1_cao_image_head_male_hanks,0x6300004,,hanks,skin3,
head,5,6,0,5,LOOT_CHEN,s1_cao_image_head_male_chen,0x6300005,,chen,skin2,
head,6,7,0,6,LOOT_HADES,s1_cao_image_head_male_kva,0x6300006,,kva_head,skin2,
head,7,10,0,7,LOOT_KANG,s1_cao_image_head_male_kang,0x6300007,,kang,skin2,
head,8,11,0,8,LOOT_GIDEON,s1_cao_image_head_male_gideon,0x6300008,,gideon,skin2,
head,9,14,0,9,LOOT_MARTIN,s1_cao_image_head_male_martin,0x6300009,,martin,skin2,
head,10,17,0,10,LOOT_WATERS,s1_cao_image_head_female_waters,0x630000A,,waters,skin1,female
head,11,20,0,11,LOOT_LEE,s1_cao_image_head_female_lee,0x630000B,,female,lee,skin0
head,12,23,0,12,LOOT_COYLE,s1_cao_image_head_female_coyle,0x630000C,,coyle,skin0,female
head,13,26,0,13,LOOT_YOUNG,s1_cao_image_head_male_young,0x630000D,,young,skin2,
head,14,27,0,14,LOOT_PAS,s1_cao_image_head_male_pas,0x630000E,,pas,skin2,
head,15,30,0,15,LOOT_BASARA,s1_cao_image_head_female_basara,0x630000F,,basara,skin1,female
head,16,33,0,16,LOOT_ILANA,s1_cao_image_head_female_illana,0x6300010,,illana,skin0,female
head,17,36,0,17,LOOT_DAVIS,s1_cao_image_head_male_davis,0x6300011,,davis,skin0,
head,18,37,0,18,LOOT_ZOMBIE,s1_cao_image_head_zombie,0x6300012,,pas,skin1,
pants,1,0,0,1,LOOT_KVA_PANTS,s1_cao_image_pants_03a,0x6400001,7,,,
pants,2,6,0,2,LOOT_ATLAS_PMC_PANTS,s1_cao_image_pants_02a,0x6400002,4,,,
pants,3,12,0,3,LOOT_SENTINEL_COVERT_PANTS,s1_cao_image_pants_17a,0x6400003,6,,,
pants,4,18,0,4,LOOT_NORTH_KOREAN_ARMY_PANTS,s1_cao_image_pants_20a,0x6400004,7,,,
pants,5,24,0,8,LOOT_MARINE_PANTS__2,s1_cao_image_pants_75,0x6400008,2,,,
pants,6,30,0,9,LOOT_NIGERIAN_ARMY_PANTS,s1_cao_image_pants_14a,0x6400009,7,,,
pants,7,36,0,12,LOOT_SENTINEL_PANTS,s1_cao_image_pants_08,0x640000C,5,,,
