loadoutName,CLASS_PRACTICE_1,CLASS_PRACTICE_1,CLASS_PRACTICE_2,CLASS_PRACTICE_2,CLASS_PRACTICE_2,CLASS_PRACTICE_2,CLASS_PRACTICE_3,CLASS_PRACTICE_3,CLASS_PRACTICE_4,CLASS_PRACTICE_4,CLASS_PRACTICE_5,CLASS_PRACTICE_5
loadoutPrimary,iw5_kf5,iw5_asm1,iw5_hbra3,iw5_arx160,iw5_ak12,iw5_m182spr,iw5_rhino,iw5_riotshieldt6,iw5_gm6,iw5_mors,iw5_epm3,iw5_lsat
loadoutPrimaryAttachment,lasersight,opticsreddot,opticsthermal,silencer01,opticsreddot,opticstargetenhancer,none,shieldfastmelee,scopevz,stabilizer,quickdraw,foregrip
loadoutPrimaryAttachment2,firerate,xmags,stock,foregrip,silencer01,dualmag,none,none,silencer01,none,heatsink,stock
loadoutPrimaryAttachment3,none,none,gl,stock,none,quickdraw,none,none,none,none,none,none
loadoutPrimaryCamo,none,none,none,none,none,none,none,none,none,none,none,none
loadoutPrimaryReticle,none,none,none,none,none,none,none,none,none,none,none,none
loadoutSecondary,iw5_pbw,iw5_maaws,iw5_titan45,iw5_titan45,iw5_titan45,iw5_rw1,iw5_rw1,iw5_exocrossbow,iw5_vbr,iw5_pbw,iw5_mahem,iw5_stingerm7
loadoutSecondaryAttachment,none,none,none,silencer01,none,none,none,crossbowscopebase,none,none,none,none
loadoutSecondaryAttachment2,none,none,none,none,none,none,none,none,none,none,none,none
loadoutSecondaryCamo,none,none,none,none,none,none,none,none,none,none,none,none
loadoutSecondaryReticle,none,none,none,none,none,none,none,none,none,none,none,none
loadoutEquipment,emp_grenade_mp,stun_grenade_mp,paint_grenade_mp,specialty_null,frag_grenade_mp,frag_grenade_mp,stun_grenade_mp,paint_grenade_mp,specialty_null,explosive_drone_mp,stun_grenade_var_mp,smoke_grenade_mp
loadoutEquipment2,specialty_null,stun_grenade_mp,specialty_null,specialty_null,specialty_null,specialty_null,stun_grenade_mp,paint_grenade_mp,specialty_null,specialty_null,stun_grenade_var_mp,specialty_null
loadoutOffHand,specialty_null,exohover_equipment_mp,specialty_null,specialty_null,specialty_null,exoping_equipment_mp,adrenaline_mp,extra_health_mp,exocloak_equipment_mp,exohover_equipment_mp,adrenaline_mp,exoshield_equipment_mp
loadoutOffHand2,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null
