uav,,,,0
uav,uav_enemy_direction,uav_orbit,,1
uav,uav_scrambler,uav_increased_time,uav_paint_outline,1
remote_mg_sentry_turret,sentry_heavy_resistance,,,1
remote_mg_sentry_turret,sentry_rippable,sentry_rocket_turret,,1
missile_strike,missile_strike_extra_1,,,1
missile_strike,missile_strike_chem,missile_strike_extra_1,,1
orbital_strike_laser,orbital_strike_laser_beam,,,1
orbital_strike_laser,orbital_strike_laser_width,orbital_strike_laser_duration,,1
warbird,warbird_rockets,warbird_coop_offensive,,1
warbird,warbird_ai_attack,warbird_flares,warbird_time,1
recon_ugv,recon_ugv_cloak,recon_ugv_assist_points,,1
recon_ugv,recon_ugv_paint_grenade,recon_ugv_assist_points,,1
assault_ugv,assault_ugv_mg,assault_ugv_rockets,assault_ugv_hardened,1
assault_ugv,assault_ugv_ai,assault_ugv_rockets,,1
orbitalsupport,orbitalsupport_turret,orbitalsupport_coop_offensive,orbitalsupport_ammo,1
orbitalsupport,orbitalsupport_rockets,orbitalsupport_flares,orbitalsupport_time,1
orbital_carepackage,,,,0
orbital_carepackage,orbital_carepackage_trap,orbital_carepackage_hide,orbital_carepackage_odds,0
emp,emp_assist,emp_flash,,1
emp,emp_streak_kill,emp_equipment_kill,emp_time_1,1
strafing_run_airstrike,strafing_run_airstrike_player,strafing_run_airstrike_coop,strafing_run_airstrike_speed,1
strafing_run_airstrike,strafing_run_airstrike_package,strafing_run_airstrike_stealth,,1
heavy_exosuit,heavy_exosuit_radar,heavy_exosuit_maniac,heavy_exosuit_punch,1
heavy_exosuit,heavy_exosuit_trophy,heavy_exosuit_rockets,heavy_exosuit_eject,1
