0,none,MPUI_NONE,PERKS_STANDARD_FINISH,weapon_missing_image,,,,,,,
1,multicame,MPUI_MULTICAME,PERKS_MULTICAME,img_camo_multicame,img_camo_multicame,,,camo_multicam_e_col,1,,
2,multicamd,MPUI_MULTICAMD,PERKS_MULTICAMD,img_camo_multicamd,img_camo_multicamd,,,camo_multicam_d_col,1,,
3,urban,MPUI_URBAN,PERKS_URBAN,img_camo_urban,img_camo_urban,,,camo_urban_01_col,1,,
4,stranden,MPUI_STRANDEN,PERKS_STRANDEN,img_camo_stranden,img_camo_stranden,,,camo_stranden_01_col,1,,
5,wooldand,MPUI_WOODLAND,PERKS_WOODLAND,img_camo_woodland,img_camo_woodland,,,camo_woodland_tri_01_col,1,,
6,raid,MPUI_RAID,PERKS_RAID,img_camo_raid,img_camo_raid,,,camo_kryptek_raid_01_col,1,,
7,digital3,MPUI_DIGITAL3,PERKS_DIGITAL3,img_camo_digital3,img_camo_digital3,,,camo_digital_03_col,1,,
8,highlander,MPUI_HIGHLANDER1,PERKS_HIGHLANDER1,img_camo_highlander,img_camo_highlander,,,camo_kryptek_highlander_01_col,1,,
9,yeti,MPUI_YETI,PERKS_YETI,img_camo_yeti,img_camo_yeti,,,camo_kryptek_yeti_01_col,1,,
10,digital1,MPUI_DIGITAL1,PERKS_DIGITAL1,img_camo_digital1,img_camo_digital1,,,camo_digital_01_col,1,,
11,concrete,MPUI_CONCRETE,PERKS_CONCRETE,img_camo_concrete,img_camo_concrete,,,camo_concrete_01_col,1,,
12,urbanjet,MPUI_URBANJET,PERKS_URBANJET,img_camo_urbanjet,img_camo_urbanjet,,,camo_urbanjet_01_col,1,,
13,neptune,MPUI_NEPTUNE,PERKS_NEPTUNE,img_camo_neptune,img_camo_neptune,,,camo_kryptek_neptune_01_col,1,,
14,tiger,MPUI_CARBON,PERKS_CARBON,img_camo_carbon,img_camo_carbon,,,camo_carbonfiber_01_col,1,,
15,carbon,MPUI_GOLD,PERKS_GOLD,img_camo_gold,img_camo_gold,,,camo_gold_02_col,,,
16,gold,MPUI_TIGER,PERKS_TIGER,img_camo_tiger,img_camo_tiger,,,camo_tiger_02_col,,,
17,diamond,MPUI_DIAMOND,PERKS_DIAMOND,img_camo_diamond,img_camo_diamond,,,camo_diamond_02_col,,,
18,sentinel,MPUI_SENTINEL,PERKS_SENTINEL,img_camo_sentinel,img_camo_sentinel,,,camo_sentinel_01_col,,,
19,camo01,MPUI_CREATURE,PERKS_CREATURE,img_camo_creature,img_camo_creature,,,,0,0,
20,camo02,MPUI_ELECTRICITY,PERKS_ELECTRICITY,img_camo_lightning,img_camo_lightning,,,,0,1,
21,camo03,MPUI_TECH,PERKS_TECH,img_camo_nanotech,img_camo_nanotech,,,,0,2,
22,camo04,MPUI_MAGMA,PERKS_MAGMA,img_camo_magma,img_camo_magma,,,,0,3,
23,toxictiger,MPUI_NONE,MPUI_NONE,weapon_missing_image,,,,,0,4,1
24,infected,MPUI_NONE,MPUI_NONE,weapon_missing_image,,,,,0,5,1
25,xom01,MPUI_NONE,MPUI_NONE,weapon_missing_image,,,,camo_xom1_01,0,,1
26,camo05,MPUI_TIKI,PERKS_TIKI,img_camo_tiki,img_camo_tiki,,,,0,6,
27,camo06,MPUI_BLACKLIGHT,PERKS_BLACKLIGHT,img_camo_blacklight,img_camo_blacklight,,,,0,7,
28,camo07,MPUI_FLAMES,PERKS_FLAMES,img_camo_gasfire,img_camo_gasfire,,,,0,8,
29,camo08,MPUI_JUNGLE,PERKS_JUNGLE,img_camo_jungle,img_camo_jungle,,,,0,9,
30,camo09,MPUI_TROPHY,PERKS_TROPHY,img_camo_trophy,img_camo_trophy,,,,0,10,
31,camo10,MPUI_CARDS,PERKS_CARDS,img_camo_cards,img_camo_cards,,,,0,11,
32,camo11,MPUI_DISCOBALL,PERKS_DISCOBALL,img_camo_disco,img_camo_disco,,,,0,12,
33,camo12,MPUI_XRAY,PERKS_XRAY,img_camo_xray,img_camo_xray,,,,0,13,
34,camo13,MPUI_JACKPOT,PERKS_JACKPOT,img_camo_jackpot,img_camo_jackpot,,,,0,14,
35,camo14,MPUI_BLOPS,PERKS_BLOPS,img_camo_blops,img_camo_blops,,,,0,15,
